
time,ax,ay,az,wx,wy,wz
0.331,0.12,-0.05,-0.20,-0.23,-0.03,-0.13
0.338,0.12,-0.05,-0.20,-0.22,-0.03,-0.13
0.339,0.06,-0.11,-0.24,-0.22,-0.03,-0.13
0.339,0.06,-0.11,-0.24,-0.22,-0.03,-0.12
0.339,-0.02,-0.16,-0.27,-0.22,-0.03,-0.12
0.34,-0.02,-0.16,-0.27,-0.22,-0.03,-0.11
0.343,-0.02,-0.16,-0.27,-0.23,-0.03,-0.11
0.343,-0.16,-0.26,-0.25,-0.23,-0.03,-0.11
0.343,-0.16,-0.26,-0.25,-0.23,-0.04,-0.09
0.345,-0.16,-0.26,-0.25,-0.24,-0.04,-0.08
0.348,-0.27,-0.36,-0.20,-0.24,-0.04,-0.08
0.35,-0.27,-0.36,-0.20,-0.25,-0.05,-0.07
0.354,-0.27,-0.36,-0.20,-0.26,-0.06,-0.05
0.354,-0.45,-0.46,-0.12,-0.26,-0.06,-0.05
0.355,-0.45,-0.46,-0.12,-0.27,-0.07,-0.03
0.357,-0.62,-0.59,-0.01,-0.27,-0.07,-0.03
0.357,-0.62,-0.59,-0.01,-0.28,-0.08,-0.01
0.361,-0.83,-0.62,0.05,-0.28,-0.08,-0.01
0.362,-0.83,-0.62,0.05,-0.30,-0.08,0.01
0.362,-0.83,-0.62,0.05,-0.31,-0.08,0.04
0.365,-0.83,-0.62,0.05,-0.33,-0.08,0.06
0.365,-0.89,-0.59,-0.01,-0.33,-0.08,0.06
0.366,-0.89,-0.59,-0.01,-0.35,-0.07,0.08
0.37,-0.94,-0.52,-0.15,-0.35,-0.07,0.08
0.37,-0.94,-0.52,-0.15,-0.37,-0.06,0.10
0.375,-0.98,-0.48,-0.23,-0.37,-0.06,0.10
0.375,-0.98,-0.48,-0.23,-0.39,-0.06,0.11
0.375,-0.98,-0.48,-0.23,-0.41,-0.06,0.12
0.377,-0.98,-0.48,-0.23,-0.43,-0.06,0.12
0.377,-0.98,-0.47,-0.26,-0.43,-0.06,0.12
0.382,-0.98,-0.47,-0.26,-0.45,-0.07,0.12
0.382,-0.98,-0.47,-0.26,-0.47,-0.08,0.12
0.382,-0.91,-0.44,-0.21,-0.47,-0.08,0.12
0.388,-0.91,-0.44,-0.21,-0.48,-0.10,0.11
0.388,-0.91,-0.44,-0.21,-0.49,-0.12,0.10
0.388,-0.81,-0.38,-0.11,-0.49,-0.12,0.10
0.389,-0.64,-0.35,0.04,-0.49,-0.12,0.10
0.39,-0.64,-0.35,0.04,-0.49,-0.15,0.09
0.394,-0.64,-0.35,0.04,-0.48,-0.18,0.08
0.394,-0.51,-0.30,0.27,-0.48,-0.18,0.08
0.394,-0.51,-0.30,0.27,-0.47,-0.22,0.07
0.397,-0.51,-0.30,0.27,-0.46,-0.28,0.06
0.398,-0.46,-0.25,0.59,-0.46,-0.28,0.06
0.402,-0.46,-0.25,0.59,-0.44,-0.34,0.05
0.402,-0.41,-0.19,0.90,-0.44,-0.34,0.05
0.402,-0.41,-0.19,0.90,-0.41,-0.41,0.04
0.406,-0.41,-0.19,0.90,-0.39,-0.47,0.03
0.407,-0.33,-0.15,1.04,-0.39,-0.47,0.03
0.407,-0.33,-0.15,1.04,-0.36,-0.53,0.03
0.41,-0.25,-0.12,1.09,-0.36,-0.53,0.03
0.41,-0.25,-0.12,1.09,-0.34,-0.58,0.04
0.414,-0.25,-0.12,1.09,-0.31,-0.62,0.05
0.414,-0.26,-0.12,1.01,-0.31,-0.62,0.05
0.414,-0.26,-0.12,1.01,-0.29,-0.66,0.05
0.417,-0.26,-0.12,1.01,-0.27,-0.69,0.05
0.418,-0.11,-0.16,0.92,-0.27,-0.69,0.05
0.421,0.01,-0.29,0.82,-0.27,-0.69,0.05
0.422,0.01,-0.29,0.82,-0.24,-0.69,0.05
0.422,0.01,-0.29,0.82,-0.22,-0.68,0.05
0.426,0.01,-0.29,0.82,-0.19,-0.67,0.05
0.426,0.06,-0.41,0.78,-0.19,-0.67,0.05
0.426,0.06,-0.41,0.78,-0.16,-0.66,0.05
0.429,0.03,-0.55,0.82,-0.16,-0.66,0.05
0.43,0.03,-0.55,0.82,-0.14,-0.66,0.04
0.435,0.03,-0.55,0.82,-0.13,-0.66,0.04
0.435,0.03,-0.55,0.82,-0.10,-0.66,0.03
0.435,0.06,-0.69,0.79,-0.10,-0.66,0.03
0.44,0.06,-0.69,0.79,-0.09,-0.66,0.03
0.441,0.12,-0.79,0.73,-0.09,-0.66,0.03
0.442,0.09,-0.80,0.65,-0.09,-0.66,0.03
0.443,0.09,-0.80,0.65,-0.07,-0.67,0.02
0.443,0.09,-0.80,0.65,-0.07,-0.69,0.01
0.445,0.09,-0.80,0.65,-0.06,-0.70,0.01
0.445,0.09,-0.75,0.46,-0.06,-0.70,0.01
0.445,0.09,-0.75,0.46,-0.05,-0.71,0.00
0.45,0.04,-0.68,0.30,-0.05,-0.71,0.00
0.45,0.04,-0.68,0.30,-0.05,-0.71,-0.00
0.454,-0.04,-0.56,0.09,-0.05,-0.71,-0.00
0.469,-0.04,-0.56,0.09,-0.06,-0.71,-0.01
0.47,-0.04,-0.56,0.09,-0.07,-0.70,-0.02
0.47,0.07,-0.38,-0.28,-0.07,-0.70,-0.02
0.47,0.07,-0.38,-0.28,-0.07,-0.69,-0.04
0.47,0.07,-0.38,-0.28,-0.09,-0.66,-0.06
0.47,0.22,-0.25,-0.56,-0.09,-0.66,-0.06
0.47,0.22,-0.25,-0.56,-0.10,-0.64,-0.08
0.471,0.22,-0.25,-0.56,-0.12,-0.62,-0.11
0.471,0.42,-0.13,-0.84,-0.12,-0.62,-0.11
0.471,0.42,-0.13,-0.84,-0.14,-0.60,-0.14
0.471,0.61,-0.00,-1.03,-0.14,-0.60,-0.14
0.471,0.61,-0.00,-1.03,-0.16,-0.58,-0.18
0.474,0.61,-0.00,-1.03,-0.18,-0.58,-0.22
0.475,0.72,0.06,-1.05,-0.18,-0.58,-0.22
0.475,0.72,0.06,-1.05,-0.20,-0.58,-0.26
0.478,0.77,0.11,-1.09,-0.20,-0.58,-0.26
0.478,0.77,0.11,-1.09,-0.21,-0.59,-0.30
0.482,0.81,0.16,-1.06,-0.21,-0.59,-0.30
0.482,0.81,0.16,-1.06,-0.23,-0.60,-0.35
0.483,0.81,0.16,-1.06,-0.24,-0.62,-0.39
0.485,0.81,0.16,-1.06,-0.25,-0.64,-0.44
0.485,0.75,0.18,-0.96,-0.25,-0.64,-0.44
0.488,0.75,0.18,-0.96,-0.26,-0.65,-0.48
0.489,0.63,0.28,-0.81,-0.26,-0.65,-0.48
0.489,0.63,0.28,-0.81,-0.27,-0.66,-0.52
0.493,0.42,0.30,-0.64,-0.27,-0.66,-0.52
0.493,0.42,0.30,-0.64,-0.28,-0.66,-0.56
