
time,wx,wy,wz,ax,ay,az
0.569,0.02,0.01,-0.10,0.27,0.26,0.03
0.57,0.02,0.00,-0.11,0.27,0.26,0.03
0.571,0.02,0.00,-0.11,0.30,0.29,0.02
0.572,0.01,-0.01,-0.11,0.30,0.29,0.02
0.575,0.01,-0.01,-0.11,0.34,0.26,-0.02
0.577,0.01,-0.02,-0.12,0.34,0.26,-0.02
0.58,0.01,-0.02,-0.12,0.38,0.25,0.04
0.581,-0.00,-0.04,-0.12,0.38,0.25,0.04
0.585,-0.00,-0.04,-0.12,0.42,0.23,0.08
0.586,-0.01,-0.05,-0.13,0.42,0.23,0.08
0.59,-0.01,-0.05,-0.13,0.45,0.23,0.10
0.591,-0.01,-0.07,-0.14,0.45,0.23,0.10
0.602,-0.01,-0.07,-0.14,0.51,0.21,0.16
0.604,-0.01,-0.08,-0.14,0.51,0.21,0.16
0.605,-0.01,-0.08,-0.14,0.54,0.17,0.16
0.607,-0.02,-0.09,-0.15,0.54,0.17,0.16
0.608,-0.02,-0.11,-0.16,0.54,0.17,0.16
0.609,-0.02,-0.11,-0.16,0.54,0.19,0.21
0.611,-0.02,-0.11,-0.16,0.51,0.17,0.30
0.612,-0.02,-0.12,-0.17,0.51,0.17,0.30
0.622,-0.03,-0.14,-0.17,0.51,0.17,0.30
0.624,-0.03,-0.14,-0.17,0.49,0.23,0.43
0.625,-0.03,-0.14,-0.17,0.47,0.23,0.52
0.625,-0.03,-0.15,-0.17,0.47,0.23,0.52
0.626,-0.02,-0.15,-0.18,0.47,0.23,0.52
0.627,-0.02,-0.15,-0.18,0.46,0.25,0.54
0.635,-0.02,-0.15,-0.18,0.49,0.22,0.57
0.637,-0.01,-0.15,-0.18,0.49,0.22,0.57
0.639,-0.01,-0.14,-0.19,0.49,0.22,0.57
0.641,-0.01,-0.14,-0.19,0.50,0.20,0.60
0.642,-0.01,-0.14,-0.19,0.47,0.22,0.57
0.643,0.00,-0.12,-0.20,0.47,0.22,0.57
0.646,0.01,-0.09,-0.20,0.47,0.22,0.57
0.648,0.01,-0.09,-0.20,0.45,0.21,0.53
0.65,0.01,-0.07,-0.21,0.45,0.21,0.53
0.651,0.01,-0.07,-0.21,0.38,0.19,0.45
0.655,0.01,-0.07,-0.21,0.29,0.20,0.36
0.656,0.02,-0.04,-0.21,0.29,0.20,0.36
0.661,0.02,-0.04,-0.21,0.30,0.16,0.25
0.662,0.02,-0.00,-0.20,0.30,0.16,0.25
0.665,0.02,0.04,-0.19,0.30,0.16,0.25
0.667,0.02,0.04,-0.19,0.29,0.18,0.09
0.67,0.02,0.04,-0.19,0.29,0.16,-0.05
0.671,0.02,0.07,-0.18,0.29,0.16,-0.05
0.675,0.02,0.07,-0.18,0.27,0.15,-0.16
0.677,0.01,0.10,-0.17,0.27,0.15,-0.16
0.681,0.00,0.11,-0.16,0.27,0.15,-0.16
0.682,0.00,0.11,-0.16,0.25,0.19,-0.28
0.686,-0.01,0.11,-0.16,0.25,0.19,-0.28
0.687,-0.01,0.11,-0.16,0.26,0.23,-0.40
0.693,-0.01,0.11,-0.16,0.24,0.27,-0.46
0.694,-0.01,0.10,-0.15,0.24,0.27,-0.46
0.695,-0.02,0.09,-0.14,0.24,0.27,-0.46
0.696,-0.02,0.09,-0.14,0.24,0.34,-0.51
0.701,-0.02,0.09,-0.14,0.24,0.38,-0.59
0.701,-0.03,0.07,-0.14,0.24,0.38,-0.59
0.708,-0.03,0.07,-0.14,0.24,0.42,-0.64
0.71,-0.03,0.05,-0.14,0.24,0.42,-0.64
0.711,-0.03,0.05,-0.14,0.24,0.47,-0.64
0.712,-0.04,0.02,-0.13,0.24,0.47,-0.64
0.716,-0.04,0.02,-0.13,0.22,0.49,-0.68
0.717,-0.04,-0.01,-0.14,0.22,0.49,-0.68
0.721,-0.04,-0.01,-0.14,0.24,0.51,-0.70
0.722,-0.05,-0.04,-0.14,0.24,0.51,-0.70
0.726,-0.05,-0.07,-0.14,0.24,0.51,-0.70
0.727,-0.05,-0.07,-0.14,0.20,0.53,-0.67
0.731,-0.06,-0.09,-0.15,0.20,0.53,-0.67
0.732,-0.06,-0.09,-0.15,0.18,0.57,-0.65
0.736,-0.06,-0.10,-0.15,0.18,0.57,-0.65
0.737,-0.06,-0.10,-0.15,0.16,0.56,-0.64
0.753,-0.06,-0.10,-0.15,0.16,0.58,-0.62
0.755,-0.07,-0.11,-0.15,0.16,0.58,-0.62
0.769,-0.07,-0.12,-0.16,0.16,0.58,-0.62
0.77,-0.07,-0.12,-0.16,0.15,0.54,-0.57
0.772,-0.07,-0.12,-0.16,0.10,0.55,-0.52
0.774,-0.08,-0.12,-0.16,0.10,0.55,-0.52
0.776,-0.09,-0.11,-0.16,0.10,0.55,-0.52
0.778,-0.09,-0.11,-0.16,0.06,0.57,-0.51
0.78,-0.09,-0.11,-0.16,0.06,0.56,-0.45
0.782,-0.09,-0.10,-0.16,0.06,0.56,-0.45
0.783,-0.10,-0.09,-0.16,0.06,0.56,-0.45
0.784,-0.10,-0.09,-0.16,0.01,0.57,-0.42
0.786,-0.11,-0.08,-0.17,0.01,0.57,-0.42
0.787,-0.11,-0.08,-0.17,-0.04,0.59,-0.37
0.788,-0.12,-0.08,-0.17,-0.04,0.59,-0.37
0.789,-0.12,-0.08,-0.17,-0.08,0.61,-0.34
0.79,-0.12,-0.07,-0.17,-0.08,0.61,-0.34
